@relation bookkeeper
@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute CHURN numeric
@attribute AVERAGE_LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVERAGE_CHURN numeric
@attribute MAX_CHURN numeric
@attribute NR numeric
@attribute N_AUTH numeric
@attribute N_FIX numeric
@attribute Buggy {true,false}
@data
129,6,6,0,0,0,0,1,1,1,false
363,-6,6,0,0,0,0,1,1,1,true
242,11,11,0,0,0,0,1,1,1,true
682,96,96,0,0,0,9,4,1,3,true
366,0,0,0,0,0,0,1,1,1,false
103,4,4,0,0,0,0,1,1,1,true
41,0,0,0,0,0,0,0,0,0,false
66,0,0,0,0,0,0,0,0,0,false
63,9,9,0,0,0,0,1,1,1,false
47,0,0,0,0,0,0,0,0,0,false
183,0,0,0,0,0,0,0,0,0,false
49,0,0,0,0,0,0,0,0,0,false
50,0,0,0,0,0,0,0,0,0,false
98,0,0,0,0,0,0,0,0,0,false
143,5,5,0,0,0,0,1,1,1,false
43,0,0,0,0,0,0,0,0,0,false
42,0,0,0,0,0,0,0,0,0,false
56,0,0,0,0,0,0,1,1,1,false
51,0,0,0,0,0,0,0,0,0,false
41,0,0,0,0,0,0,0,0,0,false
104,0,0,0,0,0,0,0,0,0,false
54,0,0,0,0,0,0,0,0,0,false
162,0,0,0,0,0,0,0,0,0,true
6523,156,12766,0,0,0,0,1,1,0,true
153,0,0,0,0,0,0,0,0,0,false
43,0,0,0,0,0,0,1,1,1,false
41,0,0,0,0,0,0,0,0,0,false
400,400,400,0,0,1,1,3,2,2,true
425,425,425,2,2,5,5,2,1,1,true
1041,1041,1041,6,6,-6,-6,2,1,1,true
92,92,92,0,0,0,0,1,1,0,false
355,355,355,2,2,2,2,2,1,1,true
105,0,0,0,0,0,0,0,0,0,true
105,0,0,0,0,0,0,0,0,0,true
92,0,0,0,0,0,0,0,0,0,true
101,0,0,0,0,0,0,0,0,0,false
45,0,0,0,0,0,0,0,0,0,false
299,10,10,0,0,2,2,2,1,2,true
32,0,0,0,0,0,0,1,1,1,false
111,0,0,0,0,0,0,0,0,0,false
35,0,0,0,0,0,0,0,0,0,false
85,4,4,0,0,0,0,1,1,1,true
27,0,0,0,0,0,0,0,0,0,false
28,0,0,0,0,0,0,0,0,0,false
36,7,7,0,0,-2,-2,2,1,2,true
574,8,8,0,0,-5,-5,2,1,1,true
67,3,3,0,0,0,0,1,1,0,false
29,0,0,0,0,0,0,0,0,0,false
72,8,8,0,0,0,0,1,1,0,false
37,0,0,0,0,0,0,0,0,0,false
51,51,51,0,0,0,0,2,1,1,false
31,31,31,0,0,0,0,1,1,0,false
77,9,9,0,0,0,0,1,1,0,true
168,14,14,0,0,0,0,1,1,0,true
81,9,9,0,0,0,0,1,1,0,true
37,37,37,0,0,0,0,1,1,0,false
27,27,27,0,0,0,0,1,1,0,false
48,48,48,0,0,0,0,1,1,0,false
436,53,87,0,0,-30,-4,3,1,2,true
77,77,77,0,0,0,0,1,1,0,true
63,63,63,0,0,0,0,1,1,0,false
76,0,0,0,0,0,0,0,0,0,false
191,191,191,0,0,1,1,2,1,1,true
160,1,1,0,0,0,0,1,1,0,false
906,173,189,6,12,-63,-9,3,1,2,true
74,0,0,0,0,0,0,0,0,0,false
94,0,0,0,0,0,0,0,0,0,false
22,0,0,0,0,0,0,0,0,0,false
481,58,54,2,2,-34,-34,2,1,1,false
62,0,0,0,0,0,0,0,0,0,false
58,0,0,0,0,0,0,0,0,0,false
94,3,3,0,0,0,0,1,1,0,false
27,0,0,0,0,0,0,0,0,0,false
77,0,0,0,0,0,0,0,0,0,false
744,40,40,0,0,-14,0,3,1,1,true
64,64,64,0,0,0,0,1,1,0,true
45,45,45,0,0,0,0,1,1,0,false
63,0,0,0,0,0,0,0,0,0,false
37,0,0,0,0,0,0,0,0,0,false
64,0,0,0,0,0,0,0,0,0,false
124,0,0,0,0,0,0,0,0,0,false
172,12,14,5,5,-2,-2,2,1,2,false
36,0,0,0,0,0,0,1,1,1,false
58,0,0,0,0,0,0,0,0,0,false
62,0,0,0,0,0,0,0,0,0,false
132,6,2,0,0,0,0,1,1,1,false
74,0,0,0,0,0,0,1,1,1,false
83,0,0,0,0,0,0,0,0,0,false
74,0,0,0,0,0,0,0,0,0,false
48,0,0,0,0,0,0,0,0,0,false
60,0,0,0,0,0,0,0,0,0,false
86,16,16,0,0,0,0,1,1,0,false
355,176,290,7,7,4,7,3,1,3,false
53,0,0,0,0,0,0,0,0,0,false
612,160,176,4,9,-50,-4,4,1,3,true
39,0,0,0,0,0,0,0,0,0,false
78,0,0,0,0,0,0,0,0,0,true
85,21,23,0,0,0,0,1,1,1,true
31,0,0,0,0,0,0,0,0,0,false
57,0,0,0,0,0,0,0,0,0,false
108,4,4,0,0,0,0,1,1,1,false
32,0,0,0,0,0,0,1,1,1,false
227,0,0,0,0,0,0,0,0,0,false
201,4,4,0,0,0,0,1,1,1,false
80,5,5,0,0,0,0,1,1,1,false
28,0,0,0,0,0,0,0,0,0,false
57,5,5,0,0,0,0,1,1,1,false
446,17,17,0,0,0,0,2,1,2,false
103,0,0,0,0,0,0,0,0,0,false
35,0,0,0,0,0,0,1,1,1,false
98,0,0,0,0,0,0,0,0,0,false
79,0,0,0,0,0,0,0,0,0,false
58,0,0,0,0,0,0,0,0,0,false
51,0,0,0,0,0,0,0,0,0,false
57,0,0,0,0,0,0,0,0,0,false
230,0,0,0,0,0,0,0,0,0,true
154,20,34,0,0,2,3,3,1,3,true
251,29,61,0,0,4,4,2,1,2,true
63,1,1,0,0,0,0,1,1,1,true
130,1,1,0,0,0,0,1,1,1,true
74,9,9,0,0,-4,-4,2,1,2,true
116,0,0,0,0,0,0,0,0,0,false
166,0,0,0,0,0,0,0,0,0,false
726,33,33,0,0,-16,-1,3,1,3,true
265,172,172,0,0,0,0,1,1,1,true
261,1,1,0,0,0,0,1,1,1,true
170,0,0,0,0,0,0,0,0,0,false
241,73,89,8,17,-38,-30,3,1,3,true
241,241,241,0,0,0,0,1,1,0,true
124,12,12,0,0,0,0,1,1,0,true
48,0,0,0,0,0,0,0,0,0,false
76,0,0,0,0,0,0,0,0,0,false
139,10,10,0,0,0,0,1,1,1,false
272,272,272,0,0,0,0,1,1,1,true
53,0,0,0,0,0,0,0,0,0,false
306,0,0,0,0,0,0,0,0,0,false
54,0,0,0,0,0,0,0,0,0,false
268,0,0,0,0,0,0,0,0,0,true
52,0,0,0,0,0,0,0,0,0,false
246,246,246,0,0,0,0,1,1,1,true
206,0,0,0,0,0,0,0,0,0,false
64,0,0,0,0,0,0,0,0,0,false
206,0,0,0,0,0,0,0,0,0,true
315,0,0,0,0,0,0,0,0,0,false
47,0,0,0,0,0,0,0,0,0,false
92,0,0,0,0,0,0,0,0,0,true
215,0,0,0,0,0,0,0,0,0,false
271,0,0,0,0,0,0,0,0,0,false
458,11,11,0,0,-3,-3,2,1,0,false
137,0,0,0,0,0,0,0,0,0,false
357,13,13,0,0,0,0,1,1,1,false
163,-51,73,31,62,26,53,3,2,1,false
1242,520,548,37,57,-68,24,17,3,10,false
51,0,0,0,0,0,0,0,0,0,false
154,4,4,0,0,0,0,1,1,0,false
31,0,0,0,0,0,0,0,0,0,false
928,928,928,1,5,-158,-79,5,3,1,false
180,0,0,0,0,0,0,0,0,0,false
260,70,70,3,3,5,6,3,2,1,false
551,86,82,3,6,-8,5,6,3,3,true
40,0,0,0,0,0,0,0,0,0,false
361,106,106,0,0,-71,-40,3,1,1,false
388,13,9,2,2,5,5,2,2,1,false
51,51,51,0,0,0,0,1,1,0,false
577,70,100,13,21,19,25,7,3,3,true
32,0,0,0,0,0,0,0,0,0,false
66,0,0,0,0,0,0,0,0,0,false
188,1,39,19,19,14,21,8,2,2,false
582,10,14,3,6,-1,2,6,3,4,false
158,0,0,0,0,0,0,1,1,1,false
50,4,4,0,0,0,0,1,1,1,false
27,0,0,0,0,0,0,0,0,0,false
928,204,168,9,18,-22,13,10,2,4,true
60,0,0,0,0,0,0,0,0,0,false
62,0,0,0,0,0,0,1,1,1,false
87,1,-1,0,0,0,0,1,1,1,false
52,0,0,0,0,0,0,1,1,1,false
268,268,268,0,0,0,2,3,2,2,false
163,0,0,0,0,0,0,0,0,0,false
109,18,18,0,0,0,0,1,1,1,false
147,0,0,0,0,0,0,0,0,0,false
58,58,58,0,0,0,0,2,1,0,false
44,44,44,0,0,0,0,1,1,0,false
106,108,108,0,0,0,0,1,1,0,false
139,0,0,0,0,0,0,0,0,0,false
326,44,44,0,0,-22,-11,4,1,0,false
648,46,140,13,27,25,82,11,3,4,false
778,183,127,55,205,50,368,14,3,2,false
314,98,126,8,14,-27,7,4,3,0,false
55,0,0,0,0,0,0,0,0,0,false
191,7,7,0,0,0,0,1,1,0,false
90,29,35,5,5,22,22,2,1,0,false
273,273,273,1,4,4,7,4,1,0,false
137,-7,17,0,1,3,4,4,2,1,false
