Project,#TrainingRelease,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,Kappa,AUC
bookkeeper,5,IBK,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.830137,0.938080,0.485322,0.825291
bookkeeper,5,RANDOM_FOREST,NONE,SMOTE,NONE,0.882550,0.814241,0.498331,0.834982
bookkeeper,5,NAIVE_BAYES,NONE,SMOTE,NONE,0.723596,0.996904,-0.004468,0.755380
bookkeeper,5,IBK,NONE,SMOTE,NONE,0.843648,0.801858,0.395679,0.819955
bookkeeper,5,RANDOM_FOREST,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.836158,0.916409,0.482514,0.884178
bookkeeper,5,NAIVE_BAYES,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.724215,1.000000,0.000000,0.755380
bookkeeper,5,IBK,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.825352,0.907121,0.438364,0.820006
bookkeeper,5,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.902357,0.829721,0.557467,0.858630
bookkeeper,5,NAIVE_BAYES,BEST_FIRST,NONE,NONE,0.250000,0.003096,-0.011811,0.650583
bookkeeper,5,IBK,BEST_FIRST,NONE,NONE,0.900685,0.814241,0.536599,0.864520
bookkeeper,5,RANDOM_FOREST,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.859599,0.928793,0.567562,0.884820
bookkeeper,5,NAIVE_BAYES,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.200000,0.015480,-0.084066,0.650583
bookkeeper,5,IBK,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.873874,0.900929,0.573911,0.864469
bookkeeper,5,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,NONE,0.881579,0.829721,0.512527,0.860631
bookkeeper,5,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,NONE,0.200000,0.006192,-0.032916,0.636097
bookkeeper,5,IBK,BEST_FIRST,OVER_SAMPLING,NONE,0.881579,0.829721,0.512527,0.853394
bookkeeper,5,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.838440,0.931889,0.506214,0.874462
bookkeeper,5,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.724215,1.000000,0.000000,0.636097
bookkeeper,5,IBK,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.873112,0.894737,0.564643,0.853445
bookkeeper,5,RANDOM_FOREST,BEST_FIRST,SMOTE,NONE,0.894558,0.814241,0.523963,0.861877
bookkeeper,5,NAIVE_BAYES,BEST_FIRST,SMOTE,NONE,0.285714,0.006192,-0.019193,0.631050
bookkeeper,5,IBK,BEST_FIRST,SMOTE,NONE,0.889262,0.820433,0.519453,0.852186
bookkeeper,5,RANDOM_FOREST,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.866071,0.900929,0.553176,0.875393
bookkeeper,5,NAIVE_BAYES,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.823810,0.535604,0.182798,0.631050
bookkeeper,5,IBK,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.871166,0.879257,0.541885,0.852236
