Project,#TrainingRelease,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,Kappa,AUC
avro,6,IBK,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.948052,0.979866,0.123108,0.673005
avro,6,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,NONE,0.946309,0.946309,0.057420,0.567487
avro,6,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,NONE,0.954545,0.986577,0.282543,0.902685
avro,6,IBK,BEST_FIRST,OVER_SAMPLING,NONE,0.946309,0.946309,0.057420,0.641312
avro,6,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.948718,0.993289,0.164512,0.513796
avro,6,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.943038,1.000000,0.000000,0.902685
avro,6,IBK,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.948718,0.993289,0.164512,0.641312
avro,6,RANDOM_FOREST,BEST_FIRST,SMOTE,NONE,0.946309,0.946309,0.057420,0.561521
avro,6,NAIVE_BAYES,BEST_FIRST,SMOTE,NONE,0.954545,0.986577,0.282543,0.903057
avro,6,IBK,BEST_FIRST,SMOTE,NONE,0.946309,0.946309,0.057420,0.641312
avro,6,RANDOM_FOREST,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.948387,0.986577,0.142237,0.516779
avro,6,NAIVE_BAYES,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.943038,1.000000,0.000000,0.903057
avro,6,IBK,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.948718,0.993289,0.164512,0.641312
avro,7,RANDOM_FOREST,NONE,NONE,NONE,0.819355,1.000000,0.146934,0.465964
avro,7,NAIVE_BAYES,NONE,NONE,NONE,0.803797,1.000000,0.000000,0.812802
avro,7,IBK,NONE,NONE,NONE,0.814103,1.000000,0.099804,0.756414
avro,7,RANDOM_FOREST,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.803797,1.000000,0.000000,0.537465
avro,7,NAIVE_BAYES,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.803797,1.000000,0.000000,0.812802
avro,7,IBK,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.814103,1.000000,0.099804,0.756414
avro,7,RANDOM_FOREST,NONE,OVER_SAMPLING,NONE,0.815068,0.937008,0.085950,0.583185
avro,7,NAIVE_BAYES,NONE,OVER_SAMPLING,NONE,0.803797,1.000000,0.000000,0.791974
avro,7,IBK,NONE,OVER_SAMPLING,NONE,0.816327,0.944882,0.097749,0.681864
avro,7,RANDOM_FOREST,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.828947,0.992126,0.220680,0.437262
avro,7,NAIVE_BAYES,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.803797,1.000000,0.000000,0.791974
avro,7,IBK,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.824675,1.000000,0.192351,0.681864
avro,7,RANDOM_FOREST,NONE,SMOTE,NONE,0.820690,0.937008,0.125936,0.580391
avro,7,NAIVE_BAYES,NONE,SMOTE,NONE,0.803797,1.000000,0.000000,0.790704
avro,7,IBK,NONE,SMOTE,NONE,0.816327,0.944882,0.097749,0.681864
avro,7,RANDOM_FOREST,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.820000,0.968504,0.135545,0.552070
avro,7,NAIVE_BAYES,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.803797,1.000000,0.000000,0.790704
avro,7,IBK,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.821192,0.976378,0.149013,0.681864
avro,7,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.820690,0.937008,0.125936,0.581407
avro,7,NAIVE_BAYES,BEST_FIRST,NONE,NONE,0.828947,0.992126,0.220680,0.791466
avro,7,IBK,BEST_FIRST,NONE,NONE,0.816327,0.944882,0.097749,0.681864
avro,7,RANDOM_FOREST,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.825503,0.968504,0.177369,0.551054
avro,7,NAIVE_BAYES,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.803797,1.000000,0.000000,0.791466
avro,7,IBK,BEST_FIRST,NONE,COST_SENSITIVE_THRESHOLD,0.821192,0.976378,0.149013,0.681864
avro,7,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,NONE,0.823129,0.952756,0.150823,0.541275
avro,7,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,NONE,0.828947,0.992126,0.220680,0.770765
avro,7,IBK,BEST_FIRST,OVER_SAMPLING,NONE,0.818792,0.960630,0.122527,0.629667
avro,7,RANDOM_FOREST,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.823529,0.992126,0.177389,0.546609
avro,7,NAIVE_BAYES,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.803797,1.000000,0.000000,0.770765
avro,7,IBK,BEST_FIRST,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.824675,1.000000,0.192351,0.629667
avro,7,RANDOM_FOREST,BEST_FIRST,SMOTE,NONE,0.820690,0.937008,0.125936,0.551943
avro,7,NAIVE_BAYES,BEST_FIRST,SMOTE,NONE,0.828947,0.992126,0.220680,0.769368
avro,7,IBK,BEST_FIRST,SMOTE,NONE,0.816327,0.944882,0.097749,0.629667
avro,7,RANDOM_FOREST,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.821192,0.976378,0.149013,0.545847
avro,7,NAIVE_BAYES,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.803797,1.000000,0.000000,0.769368
avro,7,IBK,BEST_FIRST,SMOTE,COST_SENSITIVE_THRESHOLD,0.822368,0.984252,0.162952,0.629667
avro,8,RANDOM_FOREST,NONE,NONE,NONE,0.995169,0.915556,0.076109,0.892222
avro,8,NAIVE_BAYES,NONE,NONE,NONE,0.995261,0.933333,0.096967,0.655556
avro,8,IBK,NONE,NONE,NONE,0.994624,0.822222,0.030218,0.741111
avro,8,RANDOM_FOREST,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.991189,1.000000,0.000000,0.766667
avro,8,NAIVE_BAYES,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.990826,0.960000,-0.014628,0.655556
avro,8,IBK,NONE,NONE,COST_SENSITIVE_THRESHOLD,0.994652,0.826667,0.031363,0.741111
avro,8,RANDOM_FOREST,NONE,OVER_SAMPLING,NONE,1.000000,0.746667,0.049372,0.915556
avro,8,NAIVE_BAYES,NONE,OVER_SAMPLING,NONE,0.994949,0.875556,0.048837,0.646667
avro,8,IBK,NONE,OVER_SAMPLING,NONE,0.993902,0.724444,0.013928,0.675556
avro,8,RANDOM_FOREST,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.994949,0.875556,0.048837,0.903333
avro,8,NAIVE_BAYES,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.990566,0.933333,-0.015794,0.646667
avro,8,IBK,NONE,OVER_SAMPLING,COST_SENSITIVE_THRESHOLD,0.993976,0.733333,0.014939,0.675556
avro,8,RANDOM_FOREST,NONE,SMOTE,NONE,1.000000,0.737778,0.047236,0.891111
avro,8,NAIVE_BAYES,NONE,SMOTE,NONE,0.994652,0.826667,0.031363,0.651111
avro,8,IBK,NONE,SMOTE,NONE,0.993827,0.715556,0.012977,0.680000
avro,8,RANDOM_FOREST,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,1.000000,0.826667,0.077524,0.916667
avro,8,NAIVE_BAYES,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.995122,0.906667,0.068284,0.651111
avro,8,IBK,NONE,SMOTE,COST_SENSITIVE_THRESHOLD,0.993902,0.724444,0.013928,0.680000
