@relation avro
@attribute LOC numeric
@attribute LOC_TOUCHED numeric
@attribute CHURN numeric
@attribute AVERAGE_LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVERAGE_CHURN numeric
@attribute MAX_CHURN numeric
@attribute NR numeric
@attribute N_AUTH numeric
@attribute N_FIX numeric
@attribute Buggy {true,false}
@data
177,0,0,0,0,0,0,0,0,0,false
141,0,0,0,0,0,0,0,0,0,false
22,22,22,0,0,0,0,1,1,1,false
115,0,0,0,0,0,0,0,0,0,false
240,0,0,0,0,0,0,0,0,0,false
240,0,0,0,0,0,0,0,0,0,false
154,0,0,0,0,0,0,0,0,0,false
64,0,0,0,0,0,0,0,0,0,false
75,0,0,0,0,0,0,0,0,0,false
185,0,0,0,0,0,0,0,0,0,false
39,0,0,0,0,0,0,0,0,0,false
91,0,0,0,0,0,0,0,0,0,false
42,0,0,0,0,0,0,0,0,0,false
195,1,-1,0,0,0,0,1,1,1,false
42,0,0,0,0,0,0,0,0,0,false
40,0,0,0,0,0,0,0,0,0,false
42,0,0,0,0,0,0,0,0,0,false
123,16,12,0,0,0,0,1,1,1,true
45,0,0,0,0,0,0,0,0,0,false
181,0,0,0,0,0,0,0,0,0,false
46,0,0,0,0,0,0,0,0,0,false
477,52,52,0,0,0,0,1,1,0,true
616,0,0,0,0,0,0,0,0,0,false
58,0,0,0,0,0,0,0,0,0,false
157,0,0,0,0,0,0,0,0,0,false
72,0,0,0,0,0,0,0,0,0,false
52,0,0,0,0,0,0,0,0,0,false
574,0,0,0,0,0,0,0,0,0,false
402,0,0,0,0,0,0,0,0,0,false
475,0,0,0,0,0,0,0,0,0,false
160,0,0,0,0,0,0,0,0,0,false
55,0,0,0,0,0,0,0,0,0,false
211,0,0,0,0,0,0,0,0,0,true
170,0,0,0,0,0,0,0,0,0,true
852,0,0,0,0,0,0,0,0,0,false
93,0,0,0,0,0,0,0,0,0,false
64,0,0,0,0,0,0,0,0,0,false
35,0,0,0,0,0,0,0,0,0,false
103,0,0,0,0,0,0,0,0,0,false
94,0,0,0,0,0,0,0,0,0,false
180,0,0,0,0,0,0,0,0,0,false
80,0,0,0,0,0,0,0,0,0,false
241,0,0,0,0,0,0,0,0,0,false
41,0,0,0,0,0,0,0,0,0,false
205,0,0,0,0,0,0,0,0,0,false
66,0,0,0,0,0,0,0,0,0,false
35,0,0,0,0,0,0,0,0,0,false
58,0,0,0,0,0,0,0,0,0,false
32,0,0,0,0,0,0,0,0,0,false
28,0,0,0,0,0,0,0,0,0,false
28,0,0,0,0,0,0,0,0,0,false
387,0,0,0,0,0,0,0,0,0,false
1087,0,0,0,0,0,0,0,0,0,true
25,0,0,0,0,0,0,0,0,0,false
50,0,0,0,0,0,0,0,0,0,false
76,0,0,0,0,0,0,0,0,0,false
38,0,0,0,0,0,0,0,0,0,false
